2023-04-27 12:53:09,536 INFO    StreamThr :90804 [internal.py:wandb_internal():86] W&B internal server running at pid: 90804, started at: 2023-04-27 12:53:09.536753
2023-04-27 12:53:09,538 DEBUG   HandlerThread:90804 [handler.py:handle_request():144] handle_request: status
2023-04-27 12:53:09,539 INFO    WriterThread:90804 [datastore.py:open_for_write():85] open: /home/jonah/Documents/school/idl/ForwardForward/new_code/wandb/run-20230427_125309-8rwf0c0h/run-8rwf0c0h.wandb
2023-04-27 12:53:09,539 DEBUG   SenderThread:90804 [sender.py:send():375] send: header
2023-04-27 12:53:09,545 DEBUG   SenderThread:90804 [sender.py:send():375] send: run
2023-04-27 12:53:14,546 DEBUG   HandlerThread:90804 [handler.py:handle_request():144] handle_request: keepalive
2023-04-27 12:53:18,090 INFO    SenderThread:90804 [dir_watcher.py:__init__():219] watching files in: /home/jonah/Documents/school/idl/ForwardForward/new_code/wandb/run-20230427_125309-8rwf0c0h/files
2023-04-27 12:53:18,090 INFO    SenderThread:90804 [sender.py:_start_run_threads():1124] run started: 8rwf0c0h with start time 1682614389.536926
2023-04-27 12:53:18,090 DEBUG   SenderThread:90804 [sender.py:send_request():402] send_request: summary_record
2023-04-27 12:53:18,090 DEBUG   HandlerThread:90804 [handler.py:handle_request():144] handle_request: status_report
2023-04-27 12:53:18,090 INFO    SenderThread:90804 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-27 12:53:18,092 DEBUG   HandlerThread:90804 [handler.py:handle_request():144] handle_request: check_version
2023-04-27 12:53:18,093 DEBUG   SenderThread:90804 [sender.py:send_request():402] send_request: check_version
2023-04-27 12:53:18,143 DEBUG   HandlerThread:90804 [handler.py:handle_request():144] handle_request: run_start
2023-04-27 12:53:18,149 DEBUG   HandlerThread:90804 [system_info.py:__init__():31] System info init
2023-04-27 12:53:18,149 DEBUG   HandlerThread:90804 [system_info.py:__init__():46] System info init done
2023-04-27 12:53:18,149 INFO    HandlerThread:90804 [system_monitor.py:start():181] Starting system monitor
2023-04-27 12:53:18,149 INFO    SystemMonitor:90804 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-27 12:53:18,149 INFO    HandlerThread:90804 [system_monitor.py:probe():201] Collecting system info
2023-04-27 12:53:18,150 INFO    SystemMonitor:90804 [interfaces.py:start():190] Started cpu monitoring
2023-04-27 12:53:18,150 INFO    SystemMonitor:90804 [interfaces.py:start():190] Started disk monitoring
2023-04-27 12:53:18,151 INFO    SystemMonitor:90804 [interfaces.py:start():190] Started gpu monitoring
2023-04-27 12:53:18,151 INFO    SystemMonitor:90804 [interfaces.py:start():190] Started memory monitoring
2023-04-27 12:53:18,151 INFO    SystemMonitor:90804 [interfaces.py:start():190] Started network monitoring
2023-04-27 12:53:18,160 DEBUG   HandlerThread:90804 [system_info.py:probe():195] Probing system
2023-04-27 12:53:18,166 DEBUG   HandlerThread:90804 [system_info.py:_probe_git():180] Probing git
2023-04-27 12:53:18,174 DEBUG   HandlerThread:90804 [system_info.py:_probe_git():188] Probing git done
2023-04-27 12:53:18,174 DEBUG   HandlerThread:90804 [system_info.py:probe():240] Probing system done
