2023-04-27 19:09:57,805 INFO    StreamThr :60306 [internal.py:wandb_internal():86] W&B internal server running at pid: 60306, started at: 2023-04-27 19:09:57.805021
2023-04-27 19:09:57,806 DEBUG   HandlerThread:60306 [handler.py:handle_request():144] handle_request: status
2023-04-27 19:09:57,808 INFO    WriterThread:60306 [datastore.py:open_for_write():85] open: /home/jonah/Documents/school/idl/threshold_forwardforward/new_code/wandb/run-20230427_190957-mcbzmqhz/run-mcbzmqhz.wandb
2023-04-27 19:09:57,808 DEBUG   SenderThread:60306 [sender.py:send():375] send: header
2023-04-27 19:09:57,817 DEBUG   SenderThread:60306 [sender.py:send():375] send: run
2023-04-27 19:09:58,040 INFO    SenderThread:60306 [dir_watcher.py:__init__():219] watching files in: /home/jonah/Documents/school/idl/threshold_forwardforward/new_code/wandb/run-20230427_190957-mcbzmqhz/files
2023-04-27 19:09:58,040 INFO    SenderThread:60306 [sender.py:_start_run_threads():1124] run started: mcbzmqhz with start time 1682636997.80577
2023-04-27 19:09:58,040 DEBUG   SenderThread:60306 [sender.py:send_request():402] send_request: summary_record
2023-04-27 19:09:58,040 INFO    SenderThread:60306 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-04-27 19:09:58,043 DEBUG   HandlerThread:60306 [handler.py:handle_request():144] handle_request: check_version
2023-04-27 19:09:58,043 DEBUG   SenderThread:60306 [sender.py:send_request():402] send_request: check_version
2023-04-27 19:09:58,089 DEBUG   HandlerThread:60306 [handler.py:handle_request():144] handle_request: run_start
2023-04-27 19:09:58,094 DEBUG   HandlerThread:60306 [system_info.py:__init__():31] System info init
2023-04-27 19:09:58,094 DEBUG   HandlerThread:60306 [system_info.py:__init__():46] System info init done
2023-04-27 19:09:58,094 INFO    HandlerThread:60306 [system_monitor.py:start():181] Starting system monitor
2023-04-27 19:09:58,094 INFO    SystemMonitor:60306 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-04-27 19:09:58,094 INFO    HandlerThread:60306 [system_monitor.py:probe():201] Collecting system info
2023-04-27 19:09:58,094 INFO    SystemMonitor:60306 [interfaces.py:start():190] Started cpu monitoring
2023-04-27 19:09:58,095 INFO    SystemMonitor:60306 [interfaces.py:start():190] Started disk monitoring
2023-04-27 19:09:58,095 INFO    SystemMonitor:60306 [interfaces.py:start():190] Started gpu monitoring
2023-04-27 19:09:58,095 INFO    SystemMonitor:60306 [interfaces.py:start():190] Started memory monitoring
2023-04-27 19:09:58,096 INFO    SystemMonitor:60306 [interfaces.py:start():190] Started network monitoring
2023-04-27 19:09:58,105 DEBUG   HandlerThread:60306 [system_info.py:probe():195] Probing system
2023-04-27 19:09:58,110 DEBUG   HandlerThread:60306 [system_info.py:_probe_git():180] Probing git
2023-04-27 19:09:58,118 DEBUG   HandlerThread:60306 [system_info.py:_probe_git():188] Probing git done
2023-04-27 19:09:58,118 DEBUG   HandlerThread:60306 [system_info.py:probe():240] Probing system done
